method,method_col,beta_true,sigma_x_me,sigma_y_me,error_ratio,n_per_habitat,n_habitats,mean_bias,rmse,sd_bias,sd_rmse,n_sim
Ensemble,beta_ensemble,0.6,0.4,0.2,0.5,36,6,-0.0019433866801809628,0.14783668824410837,0.18948664800464074,0.11761187768608132,100
Ensemble,beta_ensemble,0.6,0.4,0.2,0.5,72,6,-0.05335428416074464,0.17483950920105162,0.21488238273702237,0.13480445878515,100
Ensemble,beta_ensemble,0.6,0.4,0.2,0.5,36,12,-0.03941417863463334,0.130569360687768,0.15339698139113084,0.08876508031185382,100
Ensemble,beta_ensemble,0.6,0.4,0.2,0.5,72,12,-0.06064494776762288,0.12062128127728938,0.14661464476041988,0.10253953024582747,100
Ensemble,beta_ensemble,0.6,0.3,0.3,1.0,36,6,0.03334138349539968,0.18249469878133218,0.24912713749030638,0.17189091001953666,100
Ensemble,beta_ensemble,0.6,0.3,0.3,1.0,72,6,-0.03830163229142659,0.18100303414866684,0.22891913779705705,0.1441970053851156,100
Ensemble,beta_ensemble,0.6,0.3,0.3,1.0,36,12,0.03161605054829082,0.13561098016042666,0.165332898895737,0.09883592410573236,100
Ensemble,beta_ensemble,0.6,0.3,0.3,1.0,72,12,0.009474717231543755,0.11214842449478687,0.14722335058624264,0.09518970404289455,100
LMM (Rand. Slopes),beta_lmer_slopes,0.6,0.2,0.4,2.0,36,6,-0.13810372466292165,0.16993546809020577,0.16165820358011632,0.1273927217036682,100
LMM (Rand. Slopes),beta_lmer_slopes,0.6,0.2,0.4,2.0,72,6,-0.10457656346953312,0.14762621916699228,0.1482035545998067,0.10486840094509867,100
LMM (Rand. Slopes),beta_lmer_slopes,0.6,0.2,0.4,2.0,36,12,-0.11042386315836056,0.12431707660301658,0.10715851187016036,0.09049142612023423,100
Ensemble,beta_ensemble,0.6,0.2,0.4,2.0,72,12,-0.03165616454608691,0.11838355891512169,0.1511687864702444,0.09852922304142973,100
Ensemble,beta_ensemble,1.0,0.4,0.2,0.5,36,6,-0.13817042463615048,0.1824066236794309,0.17305737742270938,0.12499800888768305,100
Deming (MCR),beta_deming_mcr,1.0,0.4,0.2,0.5,72,6,-0.04000826719094878,0.19570840121850858,0.2410718818749906,0.1450648717460799,100
Deming (MCR),beta_deming_mcr,1.0,0.4,0.2,0.5,36,12,-0.006810025858210774,0.14617110208749418,0.18458077124618794,0.11196024668512476,100
Deming (MCR),beta_deming_mcr,1.0,0.4,0.2,0.5,72,12,-0.052303055742111304,0.1618076729391527,0.19369939735279174,0.11762871131110832,100
Ensemble,beta_ensemble,1.0,0.3,0.3,1.0,36,6,-0.1063968459144327,0.16054783944781767,0.17061895743607605,0.12045536672608759,100
Ensemble,beta_ensemble,1.0,0.3,0.3,1.0,72,6,-0.10411595613697028,0.18367420507068824,0.20110240881343167,0.13158580469103456,100
Ensemble,beta_ensemble,1.0,0.3,0.3,1.0,36,12,-0.07298685130973424,0.14021178199125683,0.16146524355697417,0.10767539735259757,100
Ensemble,beta_ensemble,1.0,0.3,0.3,1.0,72,12,-0.09569775361281715,0.14041484188728515,0.1367406552689837,0.08962750614765409,100
Ensemble,beta_ensemble,1.0,0.2,0.4,2.0,36,6,-0.12706602926971647,0.18149029395538108,0.1879401366053559,0.13549508542330205,100
Ensemble,beta_ensemble,1.0,0.2,0.4,2.0,72,6,-0.08455070960987539,0.1703037260592218,0.19979756626008052,0.13358060478317257,100
Ensemble,beta_ensemble,1.0,0.2,0.4,2.0,36,12,-0.11016060595536953,0.14937827286316813,0.15027903672754095,0.1109164836955489,100
Ensemble,beta_ensemble,1.0,0.2,0.4,2.0,72,12,-0.11650465345309274,0.15526726298434795,0.16283614078583294,0.12599448432747923,100
RMA,beta_rma,1.4,0.4,0.2,0.5,36,6,0.07388114378108031,0.21309703506967959,0.27124550977376927,0.18225983881832247,100
RMA,beta_rma,1.4,0.4,0.2,0.5,72,6,0.07935779504438747,0.17897105759062445,0.22409534823995164,0.15564644612996023,100
RMA,beta_rma,1.4,0.4,0.2,0.5,36,12,0.06943404127031488,0.1524496988335206,0.17695257831845324,0.11272236491499722,100
Deming (MCR),beta_deming_mcr,1.4,0.4,0.2,0.5,72,12,-0.019333233206054082,0.14495961544432695,0.1897524642746197,0.12311783596648854,100
RMA,beta_rma,1.4,0.3,0.3,1.0,36,6,0.12468054707826778,0.22015662146870532,0.25806201790743627,0.18259173944057291,100
RMA,beta_rma,1.4,0.3,0.3,1.0,72,6,0.13523425821253007,0.19340478773950726,0.21855664545169937,0.16869142791091807,100
RMA,beta_rma,1.4,0.3,0.3,1.0,36,12,0.15965202037487758,0.19601156630650315,0.18825705692623562,0.149593880430237,100
Theil-Sen,beta_theilsen,1.4,0.3,0.3,1.0,72,12,-0.17456611166993696,0.2124785447599738,0.19740181241119084,0.15538806471084346,100
Theil-Sen,beta_theilsen,1.4,0.2,0.4,2.0,36,6,-0.13276832883420991,0.19952012794153795,0.2074089689451256,0.1435742980942095,100
OLS,beta_ols,1.4,0.2,0.4,2.0,72,6,-0.054414553839211156,0.2038893522658688,0.24630730395578926,0.14719838466763954,100
OLS,beta_ols,1.4,0.2,0.4,2.0,36,12,-0.0811673418243704,0.16447181082328527,0.17804818592931734,0.1050315285561705,100
OLS,beta_ols,1.4,0.2,0.4,2.0,72,12,-0.06647812110707065,0.1694014753307559,0.1997817066449716,0.1240563726070188,100
