method,β=0.6 | H=6 | n/h=36 | r=0.5,β=0.6 | H=6 | n/h=36 | r=1,β=0.6 | H=6 | n/h=36 | r=2,β=0.6 | H=6 | n/h=72 | r=0.5,β=0.6 | H=6 | n/h=72 | r=1,β=0.6 | H=6 | n/h=72 | r=2,β=0.6 | H=12 | n/h=36 | r=0.5,β=0.6 | H=12 | n/h=36 | r=1,β=0.6 | H=12 | n/h=36 | r=2,β=0.6 | H=12 | n/h=72 | r=0.5,β=0.6 | H=12 | n/h=72 | r=1,β=0.6 | H=12 | n/h=72 | r=2,β=1 | H=6 | n/h=36 | r=0.5,β=1 | H=6 | n/h=36 | r=1,β=1 | H=6 | n/h=36 | r=2,β=1 | H=6 | n/h=72 | r=0.5,β=1 | H=6 | n/h=72 | r=1,β=1 | H=6 | n/h=72 | r=2,β=1 | H=12 | n/h=36 | r=0.5,β=1 | H=12 | n/h=36 | r=1,β=1 | H=12 | n/h=36 | r=2,β=1 | H=12 | n/h=72 | r=0.5,β=1 | H=12 | n/h=72 | r=1,β=1 | H=12 | n/h=72 | r=2,β=1.4 | H=6 | n/h=36 | r=0.5,β=1.4 | H=6 | n/h=36 | r=1,β=1.4 | H=6 | n/h=36 | r=2,β=1.4 | H=6 | n/h=72 | r=0.5,β=1.4 | H=6 | n/h=72 | r=1,β=1.4 | H=6 | n/h=72 | r=2,β=1.4 | H=12 | n/h=36 | r=0.5,β=1.4 | H=12 | n/h=36 | r=1,β=1.4 | H=12 | n/h=36 | r=2,β=1.4 | H=12 | n/h=72 | r=0.5,β=1.4 | H=12 | n/h=72 | r=1,β=1.4 | H=12 | n/h=72 | r=2
Random Forest,-0.47623994349659166,-0.4728755826695143,-0.46833234500091225,-0.49311710668024294,-0.48920496674068864,-0.46709910681278366,-0.5013530216186848,-0.48424985173829177,-0.479559483686654,-0.5028842890428993,-0.48952660387248903,-0.4727652894566997,-0.8165839333849924,-0.7993564837124023,-0.7820678456212024,-0.8308683871983756,-0.8086050673167341,-0.7899167861782986,-0.8287239304926289,-0.8203110963126014,-0.8043150996296261,-0.8556235963646946,-0.8254899581143035,-0.8130859051420947,-1.1517594809640999,-1.1193307953391531,-1.109263213559389,-1.1576820048394048,-1.1307420699969324,-1.1118700833178388,-1.1826721165681304,-1.1506619104013471,-1.1265320485310786,-1.1830409295063524,-1.159810137534819,-1.1349990401153947
Keras,-0.31471413734252557,-0.31144571898032153,-0.31136456570104193,-0.319200578003365,-0.3130107174901059,-0.3124543106739292,-0.310449241676988,-0.31023305231454285,-0.3177388277908176,-0.3180032839286286,-0.3134070871389849,-0.3110617232331242,-0.7096950847205153,-0.700818375440449,-0.7049389890662314,-0.7026237974486139,-0.6993919894618739,-0.7000047892727161,-0.7038819296086877,-0.713985427536918,-0.6992467966367667,-0.7082939587481633,-0.7003046397133221,-0.7042365587742825,-1.1021002631391728,-1.0995942681074482,-1.091472932558372,-1.105457250001491,-1.0897881684565072,-1.096819533589787,-1.0964826699654622,-1.1015851315775942,-1.0930895293139928,-1.098526011272588,-1.0919341934757538,-1.0966296904224144
GLMNET,-0.2836889018733213,-0.2703312330196,-0.2649894181970332,-0.3053310070138022,-0.28549962685937036,-0.22845620184912016,-0.2898425266949487,-0.25314685677990734,-0.22723094343922356,-0.29892410300689265,-0.24339547729383895,-0.21043833296478848,-0.5298767421180391,-0.4692379561729206,-0.41014739971452074,-0.5242887493643269,-0.4512675304950056,-0.4047954405853169,-0.4954522176744649,-0.43625402265906715,-0.40880195982099865,-0.5056872042418777,-0.4406399954429389,-0.4073951426027547,-0.7145936499822498,-0.6847745659616219,-0.5949656199624827,-0.7249245438169838,-0.6340037796367776,-0.5644045020377988,-0.7342757262949468,-0.6606799538944537,-0.5581797007583466,-0.7048182829181507,-0.6512645630204114,-0.5719662042807582
LMM,-0.27746924728921946,-0.21512488154589002,-0.15012922307301899,-0.29522928184699326,-0.21935372679081694,-0.10963681096785016,-0.2972625778946756,-0.19842440554256785,-0.12102309397788735,-0.29765656755370745,-0.20718753173528914,-0.12396838626084074,-0.5017639657848849,-0.3522388118643716,-0.20212676393998028,-0.5017978397753082,-0.35274600779684967,-0.1969667584726526,-0.49286593135964274,-0.3609274222205927,-0.20474222060044567,-0.5045885006706279,-0.3629856268855232,-0.20767228371975957,-0.6838705602685435,-0.5130237183909959,-0.28279341237182654,-0.698392711036639,-0.5049707611254017,-0.2501325732206395,-0.7110491217338164,-0.5148161750585978,-0.2577450751505992,-0.7044821648245844,-0.5095025719332292,-0.25868247147286483
LMM (Rand. Slopes),-0.26903248672285957,-0.2067275044054061,-0.13810372466292165,-0.2897745805228465,-0.2168821108712882,-0.10457656346953312,-0.2902673393289891,-0.1878994265118566,-0.11042386315836056,-0.29673139641648627,-0.20049776958161739,-0.11605734396844186,-0.4955366713403362,-0.3365710863959956,-0.18408554722480053,-0.49908428153458007,-0.34495897794474906,-0.18756757690518705,-0.4838565065836095,-0.3488347936529977,-0.18734565738607262,-0.5008019862063424,-0.3540874634898663,-0.1962144179965978,-0.6802459479121093,-0.49619436233104786,-0.25834676259009376,-0.693681838737905,-0.4995112738507219,-0.22505508177737724,-0.7078270536326464,-0.5022359432303463,-0.2371242592353841,-0.7024744354903661,-0.5033870605089524,-0.24976871988749452
Siegel,-0.08106088931008382,-0.07559121474619493,-0.0612273933785135,-0.12867312928490995,-0.10407288229510167,-0.022377360975109197,-0.14133990254369141,-0.07652758153644638,-0.05609592168978841,-0.13789551658007088,-0.08072659217664054,-0.02981746976130912,-0.19053089541650606,-0.1269762151365023,-0.09400167972899609,-0.1838546408221469,-0.12278285078025475,-0.044135845810135035,-0.18896398708461346,-0.15652251761143154,-0.09808334886116278,-0.23489874857129484,-0.12984486431933123,-0.060362975233164355,-0.2611417739434453,-0.19192781054931643,-0.13232576237783053,-0.2528420611281567,-0.16964934698379763,-0.06232656914546983,-0.32339844029006726,-0.21771464299887852,-0.08145654445458655,-0.29534300851460904,-0.18567858636874832,-0.06756344504304389
Theil-Sen,-0.07333142966448643,-0.07421665511648397,-0.056535884578541286,-0.12293669910236034,-0.10479958879877843,-0.018836884502626973,-0.13488285304019743,-0.06942010825093772,-0.05448083066059212,-0.12887263753171227,-0.07781059220497893,-0.03562960735952894,-0.18629076113167595,-0.11581494401421859,-0.09783445274621633,-0.17241006645645537,-0.12414584376035201,-0.037357949931986024,-0.1781604143373583,-0.1509834176215047,-0.09812874279697567,-0.22955548349627544,-0.12066576922751786,-0.058377109786431285,-0.2547113495002946,-0.18375426637548695,-0.13276832883420991,-0.244143250153011,-0.1684636771624538,-0.06462139190892388,-0.3109778244437037,-0.21493025943842056,-0.07808171808944868,-0.283648474956606,-0.17456611166993696,-0.06038238419182937
OLS,-0.0739261745630511,-0.06738462977241534,-0.06081249021295296,-0.11885856161937976,-0.10007425961127621,-0.015496566292148888,-0.1380665559092834,-0.06964151986487883,-0.052492508555276186,-0.13259238764863432,-0.07429405983071294,-0.018366712708366605,-0.18669869771175487,-0.12633684910019338,-0.08254082888545078,-0.17291099730882156,-0.11194486996678119,-0.03871378890106367,-0.1819878088696852,-0.15396289554023024,-0.09779226669328851,-0.22510442416720877,-0.12678962627473778,-0.0614158252898131,-0.24829643646435326,-0.1842033570105528,-0.12364495976345484,-0.24099858784740247,-0.15571858450697076,-0.054414553839211156,-0.31366422430591717,-0.20458823029597167,-0.0811673418243704,-0.2868192728791809,-0.18212625163175755,-0.06647812110707065
Ensemble,-0.0019433866801809628,0.03334138349539968,-0.043709082332406425,-0.05335428416074464,-0.03830163229142659,-0.017295354518616822,-0.03941417863463334,0.03161605054829082,-0.042005746944840966,-0.06064494776762288,0.009474717231543755,-0.03165616454608691,-0.13817042463615048,-0.1063968459144327,-0.12706602926971647,-0.16352690459977537,-0.10411595613697028,-0.08455070960987539,-0.11695402136364833,-0.07298685130973424,-0.11016060595536953,-0.193451542046104,-0.09569775361281715,-0.11650465345309274,-0.2589993515065899,-0.2217950008023726,-0.22073325836923896,-0.26539247368447766,-0.2068345369523656,-0.17410197711524072,-0.2806911113178171,-0.20778406489297027,-0.16047801434077744,-0.29489964322440504,-0.2183022619393291,-0.17293874406106555
NLME,-0.02285684215457976,-0.013952046482053306,0.037824232024485045,-0.08142456201907468,-0.01485459060645516,0.10926230381063984,-0.10105949596686947,0.0443560046014727,0.12062406274352798,-0.06671155395295662,0.021620032857602434,0.13994579331554624,-0.2772278137686238,-0.13576526663263672,0.029479540601120614,-0.2443588003057272,-0.15891760698033153,0.0330594442909312,-0.2610657190130486,-0.11871997899551787,0.022304964098981386,-0.2470501546789672,-0.07515497937811196,0.04112526675206585,-0.4580394214164785,-0.3361583142003849,-0.12763797415163652,-0.43291808543508176,-0.30868858350636197,-0.02515311678547506,-0.4159502036403398,-0.17491467148874768,0.055275865546352866,-0.40486870908693207,-0.264945701135165,-0.026358949367399926
