method,β=0.6 | H=6 | n/h=36 | r=0.5,β=0.6 | H=6 | n/h=36 | r=1,β=0.6 | H=6 | n/h=36 | r=2,β=0.6 | H=6 | n/h=72 | r=0.5,β=0.6 | H=6 | n/h=72 | r=1,β=0.6 | H=6 | n/h=72 | r=2,β=0.6 | H=12 | n/h=36 | r=0.5,β=0.6 | H=12 | n/h=36 | r=1,β=0.6 | H=12 | n/h=36 | r=2,β=0.6 | H=12 | n/h=72 | r=0.5,β=0.6 | H=12 | n/h=72 | r=1,β=0.6 | H=12 | n/h=72 | r=2,β=1 | H=6 | n/h=36 | r=0.5,β=1 | H=6 | n/h=36 | r=1,β=1 | H=6 | n/h=36 | r=2,β=1 | H=6 | n/h=72 | r=0.5,β=1 | H=6 | n/h=72 | r=1,β=1 | H=6 | n/h=72 | r=2,β=1 | H=12 | n/h=36 | r=0.5,β=1 | H=12 | n/h=36 | r=1,β=1 | H=12 | n/h=36 | r=2,β=1 | H=12 | n/h=72 | r=0.5,β=1 | H=12 | n/h=72 | r=1,β=1 | H=12 | n/h=72 | r=2,β=1.4 | H=6 | n/h=36 | r=0.5,β=1.4 | H=6 | n/h=36 | r=1,β=1.4 | H=6 | n/h=36 | r=2,β=1.4 | H=6 | n/h=72 | r=0.5,β=1.4 | H=6 | n/h=72 | r=1,β=1.4 | H=6 | n/h=72 | r=2,β=1.4 | H=12 | n/h=36 | r=0.5,β=1.4 | H=12 | n/h=36 | r=1,β=1.4 | H=12 | n/h=36 | r=2,β=1.4 | H=12 | n/h=72 | r=0.5,β=1.4 | H=12 | n/h=72 | r=1,β=1.4 | H=12 | n/h=72 | r=2
Ensemble,0.14783668824410837,0.18249469878133218,0.17624064102009512,0.17483950920105162,0.18100303414866684,0.1830243858228527,0.130569360687768,0.13561098016042666,0.1482127631081607,0.12062128127728938,0.11214842449478687,0.11838355891512169,0.1824066236794309,0.16054783944781767,0.18149029395538108,0.20452943894316897,0.18367420507068824,0.1703037260592218,0.1599316982156251,0.14021178199125683,0.14937827286316813,0.20318118406268046,0.14041484188728515,0.15526726298434795,0.29075373731245296,0.2618928576897374,0.23693012864995758,0.28479682754130065,0.2270399110612524,0.23335930616359693,0.2833104912976263,0.22531178791373868,0.18733885014342846,0.29745889476266263,0.22977035601878312,0.20091993856657556
OLS,0.16741955319317978,0.18995455085003546,0.20476852092237333,0.1964609365990337,0.20140718648269482,0.20977541375372422,0.17248248766349566,0.14040260581733346,0.166264647224267,0.1603777355675744,0.1345526627211504,0.1312485629013693,0.2351601725477197,0.19105846967190934,0.19128400597548598,0.21768426142025596,0.21180865748952762,0.19000795786854044,0.196972866158562,0.18886997346432044,0.16053994248737433,0.2272693093376384,0.16368331780863618,0.1555597311970757,0.28686540047914244,0.25053751879738284,0.2031123218185621,0.2785913564980539,0.2161030359997034,0.2038893522658688,0.3151015520805638,0.2378607753269719,0.16447181082328527,0.28696835707404733,0.2139248275259244,0.1694014753307559
Siegel,0.1593455568129049,0.19504411889437415,0.20539209313268786,0.201712400075848,0.20595487889186573,0.20517458035650615,0.1826173242709503,0.14765529148407266,0.17100927247889947,0.16119282010470073,0.1420877475458661,0.13998228741025284,0.23767575428492227,0.1911033325694203,0.2113541914299455,0.22668405449743306,0.2189731471158135,0.19618349049947065,0.20145131837484304,0.19274405332045175,0.1681689625515222,0.2366798468825692,0.16732840662578505,0.16229817714179895,0.29419572645959213,0.25777802212003426,0.20505665569976897,0.28937653837334953,0.22531318068560868,0.21549606779119848,0.32525314943143163,0.24559574090260095,0.1690009360244286,0.29534300851460904,0.21497309146476495,0.17309203755413058
Theil-Sen,0.16429432862211926,0.19678849622966355,0.2101007953161881,0.202508467645277,0.2125250805858998,0.20614819094558245,0.18271451223764512,0.15164405792515262,0.17192931376214823,0.15852769421987928,0.14725510639913914,0.14373472995512063,0.23638512423586278,0.19205345766545698,0.22467095665130196,0.22052180359144857,0.222429282456816,0.19452371524625403,0.1931395915960821,0.19659202928442648,0.18036350840508286,0.23302145855156425,0.16092792677720685,0.16386478572865448,0.28999624525910844,0.258591657421039,0.19952012794153795,0.2822667361675068,0.22338609093797906,0.22180963691330136,0.3139272253559295,0.24492833514329299,0.17247977939699674,0.28547379381905325,0.2124785447599738,0.17751714865319904
Keras (Denoised),0.38753306335772925,0.3922524817888064,0.4141208123890199,0.2711373356282279,0.26135322712763864,0.3202070002416906,0.22161188485279024,0.23898509008286134,0.26422076918828585,0.1528531358961576,0.1471986594583934,0.16362497442906732,0.3691815203788149,0.5318287117638708,0.4416007423620525,0.29829051979811494,0.2523489120270066,0.3384999760591437,0.31603460283621326,0.29560435755431425,0.29853930725647276,0.23310918385868984,0.18575270400741356,0.21593122872645293,0.5192785946524302,0.3960878035425031,0.48094086310452383,0.24646902117131217,0.25288974369706335,0.3495558344534592,0.24004462453316006,0.26942780579373854,0.30434871503401534,0.26178112287605354,0.22164877065153926,0.24802271181934127
RMA,0.3667514365763843,0.4100504811982877,0.4718732483948351,0.36120200680422165,0.39404720837873186,0.4811012699943474,0.36117935168913645,0.4573095517428042,0.5365199444041772,0.3761509381938059,0.44984302027337925,0.5770052417953119,0.21215698625445864,0.23304940603330188,0.2960652242659512,0.19618353382940348,0.2569657419853858,0.315031512701319,0.22794093730372336,0.30805315386593324,0.36773807426561433,0.21663702355314804,0.30851803632431307,0.38259217280642416,0.21309703506967959,0.22015662146870532,0.22243805346496795,0.17897105759062445,0.19340478773950726,0.2543321573088216,0.1524496988335206,0.19601156630650315,0.2946960005273364,0.16031665206878068,0.21745015013201766,0.3020763643487503
NLME,0.2202877901167587,0.23781730301238455,0.27886633506249786,0.23440774620201923,0.2691752776387493,0.3161008826022857,0.17389212813888716,0.2112856883913026,0.29690313055912454,0.1787808434776986,0.1773348649117242,0.24938919991539682,0.313522050640179,0.2934406858524803,0.38273452154845633,0.30524805040141845,0.30367391657869014,0.3135509418037678,0.28099480538865523,0.27868892255380606,0.2871944143476434,0.2959347564994748,0.24314405061660935,0.25656524488137733,0.5389040154782332,0.43101282985887773,0.4345487547597778,0.4930894879813156,0.46007295539474596,0.5263011366025895,0.4805290328850694,0.4058679119272331,0.3960473360374928,0.45497887589857705,0.3329107350391968,0.3634405864255566
LMM (Rand. Slopes),0.26903248672285957,0.20982412365286787,0.16993546809020577,0.2897745805228465,0.2177001030407773,0.14762621916699228,0.2902673393289891,0.18857254985159286,0.12431707660301658,0.29673139641648627,0.20049776958161739,0.13181347247933498,0.4955366713403362,0.33756509505548293,0.2019659649753997,0.49908428153458007,0.34495897794474906,0.19395345756659924,0.4838565065836095,0.3488347936529977,0.18846496603071383,0.5008019862063424,0.3540874634898663,0.19869328379686502,0.6802459479121093,0.49619436233104786,0.2634879518795506,0.693681838737905,0.4995112738507219,0.23869160128184144,0.7078270536326464,0.5022359432303463,0.23905906544212271,0.7024744354903661,0.5033870605089524,0.24976871988749452
LMM,0.27746924728921946,0.21755515582752805,0.17077244014218657,0.29522928184699326,0.21986092461956885,0.15163868396651092,0.2972625778946756,0.19842440554256785,0.1334554695932143,0.29765656755370745,0.20718753173528914,0.13551489293027272,0.5017639657848849,0.3531457426554192,0.21462472075055566,0.5017978397753082,0.35274600779684967,0.2034239819221486,0.49286593135964274,0.3609274222205927,0.2057748020719733,0.5045885006706279,0.3629856268855232,0.20929915645649477,0.6838705602685435,0.5130237183909959,0.2863655211057346,0.698392711036639,0.5049707611254017,0.25835237166373026,0.7110491217338164,0.5148161750585978,0.26038326974483456,0.7044821648245844,0.5095025719332292,0.25868247147286483
SMA (Major Axis),0.40411185166166824,0.556716075339967,0.5981083057165517,0.41860707146111376,0.5599176055975232,0.5973436930274891,0.3621315829399893,0.5510288779994766,0.7644365841200869,0.3971429443668025,0.548063077787158,0.8194733441228768,0.324807597240521,0.3375601325508055,0.43677212448990493,0.28171894568122613,0.36393561124333584,0.4491140649457948,0.36309309846300536,0.5166727580438776,0.6088398165732996,0.3567513974045676,0.4996400961151421,0.6032788265054658,0.33508646373311957,0.34126077728869897,0.3844120755750744,0.3011706394517947,0.31621112410031466,0.3990106132422755,0.30569074652352757,0.38003180327310326,0.5401405831033226,0.3668662947383241,0.41564145644574324,0.5279497792113736
