method,mean_bias,rmse,mean_abs_bias,n_scenarios
Ensemble,-0.12128959340876838,0.1889223772817457,0.12542471292405918,36
OLS,-0.1286201451881561,0.2008844809206539,0.12862014518815607,36
Siegel,-0.13521478931809303,0.20661909060484507,0.13521478931809305,36
Theil-Sen,-0.13034799341229217,0.2069177704389692,0.13034799341229217,36
Keras (Denoised),0.11167205703317691,0.3000643281221769,0.14064068375325242,36
RMA,0.279091333691148,0.3102601568748226,0.27909133369114797,36
NLME,-0.11499654529183975,0.32546214470639034,0.15137862921643566,36
LMM (Rand. Slopes),-0.34171588376294965,0.3461239246616732,0.34171588376294965,36
LMM,-0.35120414400436484,0.35471839710140907,0.3512041440043649,36
SMA (Major Axis),0.41713353754963833,0.45368716222456446,0.4171335375496384,36
GLMNET,-0.4567769467346961,0.4576280658502561,0.4567769467346962,36
Deming (Std),0.41234830823642277,0.5030231981993477,0.41234830823642277,36
Deming (Wtd),0.41234830823642277,0.5030231981993477,0.41234830823642277,36
Deming (MCR),0.43959885591017805,0.5545157660649238,0.4627484836130658,36
Keras,-0.7048329228495417,0.7048329228495417,0.7048329228495417,36
Random Forest,-0.8136255419710652,0.8136255419710652,0.8136255419710652,36
