method,method_col,beta_true,sigma_x_me,sigma_y_me,error_ratio,n_per_habitat,n_habitats,mean_bias,rmse,sd_bias,sd_rmse,n_sim
Deming (MCR),beta_deming_mcr,0.6,0.2,0.4,2.0,36,6,0.9894721433358246,1.7783401810892365,4.017283624014574,3.732703323652047,100
Deming (MCR),beta_deming_mcr,0.6,0.2,0.4,2.0,36,12,1.7051095357972088,1.7051095357972088,1.160656568028226,1.160656568028226,100
Deming (MCR),beta_deming_mcr,0.6,0.2,0.4,2.0,72,6,1.1354305283599373,1.4257105508641672,1.9746029395556208,1.7742883368044216,100
Deming (MCR),beta_deming_mcr,0.6,0.2,0.4,2.0,72,12,1.6365003340197446,1.6365003340197446,0.7643448991176262,0.7643448991176262,100
Deming (MCR),beta_deming_mcr,0.6,0.3,0.3,1.0,36,6,0.470474578134704,0.5567160753399674,0.796354768822895,0.7380376990575004,100
Deming (MCR),beta_deming_mcr,0.6,0.3,0.3,1.0,36,12,0.5273446583413053,0.5510288779994763,0.36476183957742564,0.327494701796198,100
Deming (MCR),beta_deming_mcr,0.6,0.3,0.3,1.0,72,6,0.45472736289322,0.559917605597528,1.4489929261616528,1.41130140692321,100
Deming (MCR),beta_deming_mcr,0.6,0.3,0.3,1.0,72,12,0.5389102601118193,0.5480630777871571,0.41204589581821516,0.39966543240172137,100
Deming (MCR),beta_deming_mcr,0.6,0.4,0.2,0.5,36,6,0.018121876929161108,0.19702590102230239,0.24614463815719717,0.14733493696641217,100
Deming (MCR),beta_deming_mcr,0.6,0.4,0.2,0.5,36,12,-0.04357182073603465,0.1651211668027231,0.193829255534729,0.10930259330467651,100
Deming (MCR),beta_deming_mcr,0.6,0.4,0.2,0.5,72,6,-0.03727314875142534,0.21435971183677233,0.27108089573521016,0.1687422428336933,100
Deming (MCR),beta_deming_mcr,0.6,0.4,0.2,0.5,72,12,-0.034454022748013784,0.15391392604042287,0.19117102882689832,0.11754423923022976,100
Deming (MCR),beta_deming_mcr,1.0,0.2,0.4,2.0,36,6,0.7152371792591738,0.7152371792591738,0.33315217685465576,0.33315217685465576,100
Deming (MCR),beta_deming_mcr,1.0,0.2,0.4,2.0,36,12,0.9636636615040388,0.9636636615040388,0.3790552415299785,0.3790552415299785,100
Deming (MCR),beta_deming_mcr,1.0,0.2,0.4,2.0,72,6,0.7181680768153689,0.7181680768153689,0.38858047199940465,0.38858047199940465,100
Deming (MCR),beta_deming_mcr,1.0,0.2,0.4,2.0,72,12,0.9241685369958781,0.9241685369958781,0.31344975408252146,0.31344975408252146,100
Deming (MCR),beta_deming_mcr,1.0,0.3,0.3,1.0,36,6,0.305748963673838,0.3375601325508055,0.2518538212458043,0.2067830305428024,100
Deming (MCR),beta_deming_mcr,1.0,0.3,0.3,1.0,36,12,0.5110476930608979,0.5166727580438777,0.3166281997710947,0.30726865880926457,100
Deming (MCR),beta_deming_mcr,1.0,0.3,0.3,1.0,72,6,0.30680167744870257,0.36393561124333584,0.32366820790853096,0.2570061467584113,100
Deming (MCR),beta_deming_mcr,1.0,0.3,0.3,1.0,72,12,0.4996400961151427,0.4996400961151427,0.29412792817802974,0.29412792817802974,100
Deming (MCR),beta_deming_mcr,1.0,0.4,0.2,0.5,36,6,-0.04328833807771609,0.2165228755176641,0.25749233166351837,0.14435856889036316,100
Deming (MCR),beta_deming_mcr,1.0,0.4,0.2,0.5,36,12,-0.006810025858210774,0.14617110208749418,0.18458077124618794,0.11196024668512476,100
Deming (MCR),beta_deming_mcr,1.0,0.4,0.2,0.5,72,6,-0.04000826719094878,0.19570840121850858,0.2410718818749906,0.1450648717460799,100
Deming (MCR),beta_deming_mcr,1.0,0.4,0.2,0.5,72,12,-0.052303055742111304,0.1618076729391527,0.19369939735279174,0.11762871131110832,100
Deming (MCR),beta_deming_mcr,1.4,0.2,0.4,2.0,36,6,0.5315905134855167,0.5336353233032615,0.28653412251238114,0.2826687412036504,100
Deming (MCR),beta_deming_mcr,1.4,0.2,0.4,2.0,36,12,0.716473743802389,0.716473743802389,0.24478946839685214,0.24478946839685214,100
Deming (MCR),beta_deming_mcr,1.4,0.2,0.4,2.0,72,6,0.5285990158380686,0.5285990158380686,0.2722288908399804,0.2722288908399804,100
Deming (MCR),beta_deming_mcr,1.4,0.2,0.4,2.0,72,12,0.6954935819153053,0.6954935819153053,0.25207507213531727,0.25207507213531727,100
Deming (MCR),beta_deming_mcr,1.4,0.3,0.3,1.0,36,6,0.2855064645585441,0.34126077728869847,0.3563415473945604,0.3027892699962057,100
Deming (MCR),beta_deming_mcr,1.4,0.3,0.3,1.0,36,12,0.36894553236013294,0.3800318032731034,0.26474286002213543,0.2483979547055231,100
