method,error_ratio,mean_bias,rmse
Deming (MCR),0.5,-0.03321428514356829,0.1862323717790223
Deming (MCR),1.0,0.4136852819467312,0.44888994964876244
Deming (MCR),2.0,0.9383255709273711,1.0284249767669869
Deming (Std),0.5,0.6831161600094622,0.8236556179195391
Deming (Std),1.0,0.4136862285187004,0.44889066993800136
Deming (Std),2.0,0.14024253618110563,0.23652330674050256
Deming (Wtd),0.5,0.6831161600094622,0.8236556179195391
Deming (Wtd),1.0,0.4136862285187004,0.44889066993800136
Deming (Wtd),2.0,0.14024253618110563,0.23652330674050256
Ensemble,0.5,-0.15562018913517914,0.2066863112687638
Ensemble,1.0,-0.09981522938143202,0.18167672655548098
Ensemble,2.0,-0.10843336170969399,0.1784040940209923
GLMNET,0.5,-0.509308637916667,0.5093112637092047
GLMNET,1.0,-0.4567079634363261,0.4573805310028469
GLMNET,2.0,-0.4043142388510952,0.4061924028387167
Keras,0.5,-0.7074523504880168,0.7074523504880168
Keras,1.0,-0.7037915641411518,0.7037915641411518
Keras,2.0,-0.7032548539194563,0.7032548539194563
Keras (Denoised),0.5,0.039984224178987816,0.2931103841533078
Keras (Denoised),1.0,0.11113243285048836,0.28711485562459577
Keras (Denoised),2.0,0.18389951407005456,0.3199677445886271
LMM,0.5,-0.49720237250322025,0.49720237250322025
LMM,1.0,-0.3592751367408438,0.359595503649297
LMM,2.0,-0.19713492276903044,0.20735731515171008
LMM (Rand. Slopes),0.5,-0.49244287703575634,0.49244287703575634
LMM (Rand. Slopes),1.0,-0.3498156477312371,0.35028079301591836
LMM (Rand. Slopes),2.0,-0.1828891265218554,0.19564810393334472
NLME,0.5,-0.25112761345322326,0.3308807985923572
NLME,1.0,-0.12800797516222426,0.30370209514798335
NLME,2.0,0.03414595273992829,0.3418035403788306
OLS,0.5,-0.19332701077455608,0.22844616571827225
OLS,1.0,-0.12975542778387322,0.19501363182963252
OLS,2.0,-0.06277799700603898,0.17919364521405687
RMA,0.5,0.20327136975798998,0.2519197214805739
RMA,1.0,0.2729455047656772,0.3037383104540725
RMA,2.0,0.36105712654977684,0.37512243868982137
Random Forest,0.5,-0.8317123950130915,0.8317123950130915
Random Forest,1.0,-0.8125137103124397,0.8125137103124397
Random Forest,2.0,-0.7966505205876643,0.7966505205876643
SMA (Major Axis),0.5,0.29789216064816043,0.35143155280547167
SMA (Major Axis),1.0,0.41368528194673077,0.44888994964876217
SMA (Major Axis),2.0,0.5398231700540238,0.5607399842194597
Siegel,0.5,-0.20166191612413298,0.23429395817359613
Siegel,1.0,-0.13650125879188701,0.20037925096838816
Siegel,2.0,-0.0674811930382591,0.18518406267255086
Theil-Sen,0.5,-0.19332677031784473,0.23023141510845635
Theil-Sen,1.0,-0.1316309361367559,0.2016333387988372
Theil-Sen,2.0,-0.06608627378227587,0.188888557409614
