method,beta_true,mean_bias,rmse
Deming (MCR),0.6,0.613399357140621,0.7909839120163923
Deming (MCR),1.0,0.4001721831670045,0.47993800869087005
Deming (MCR),1.4,0.3052250274229087,0.39262537748750925
Deming (Std),0.6,0.5196495868682581,0.7208216174890802
Deming (Std),1.0,0.3859203520738716,0.42376436607847956
Deming (Std),1.4,0.3314749857671386,0.36448361103048327
Deming (Wtd),0.6,0.5196495868682581,0.7208216174890802
Deming (Wtd),1.0,0.3859203520738716,0.42376436607847956
Deming (Wtd),1.4,0.3314749857671386,0.36448361103048327
Ensemble,0.6,-0.021157718883443772,0.15091544382180502
Ensemble,1.0,-0.11913185815897388,0.16927809743000602
Ensemble,1.4,-0.2235792031838875,0.24657359059342607
GLMNET,0.6,-0.2634395524159872,0.2658528207892344
GLMNET,1.0,-0.45698703007435265,0.4571271190477854
GLMNET,1.4,-0.6499042577137485,0.6499042577137485
Keras,0.6,-0.31359027035619796,0.31359027035619796
Keras,1.0,-0.703951861369045,0.703951861369045
Keras,1.4,-1.0969566368233818,1.0969566368233818
Keras (Denoised),0.6,0.10058392767068425,0.26959153620338905
Keras (Denoised),1.0,0.13551761071353524,0.31472681388571333
Keras (Denoised),1.4,0.09891463271531127,0.31587463427742835
LMM,0.6,-0.20937214453989642,0.2168355982451445
LMM,1.0,-0.3534518444242199,0.3553286415291684
LMM,1.4,-0.4907884430489782,0.49199095152991434
LMM (Rand. Slopes),0.6,-0.2022478424683839,0.2113410487881322
LMM (Rand. Slopes),1.0,-0.34324541388842794,0.34565028734812847
LMM (Rand. Slopes),1.4,-0.4796543949320371,0.4813804378487587
NLME,0.6,0.014397778180940438,0.2370200991690691
NLME,1.0,-0.11602425866748882,0.2962243634260465
NLME,1.4,-0.24336315538897088,0.44314197152405543
OLS,0.6,-0.07683386888236471,0.17292623864135262
OLS,1.0,-0.1305165732257524,0.1941582221189205
OLS,1.4,-0.17850999345635113,0.2355689820016885
RMA,0.6,0.4111402730754247,0.43691947495378525
RMA,1.0,0.26255259960362537,0.2767443169324147
RMA,1.4,0.16358112839439393,0.2171166787382679
Random Forest,0.6,-0.48310063256803765,0.48310063256803765
Random Forest,1.0,-0.8145790074556629,0.8145790074556629
Random Forest,1.4,-1.143196985889495,1.143196985889495
SMA (Major Axis),0.6,0.487879749152702,0.5480900845117253
SMA (Major Axis),1.0,0.4067867593091718,0.42851537243807886
SMA (Major Axis),1.4,0.3567341041870413,0.3844560297238893
Siegel,0.6,-0.08295048785648831,0.1764306976215774
Siegel,1.0,-0.13591321411462828,0.20088706127449796
Siegel,1.4,-0.18678066598316248,0.2425395129184598
Theil-Sen,0.6,-0.07931281423426874,0.17901423115365125
Theil-Sen,1.0,-0.1308104129422473,0.20154113668251314
Theil-Sen,1.4,-0.18092075306036046,0.24019794348074316
