method,mean_bias,rmse,mean_abs_bias,n_scenarios
ODR,0.0743632192026549,0.10854233195114725,0.07436321920265491,18
SMA (Major Axis),0.07194086080638266,0.11664992756877932,0.08132963970117307,18
SMA,0.07357612069990892,0.11682576872217079,0.09294951729587814,18
RMA,0.07357612069990892,0.11682576872217079,0.09294951729587814,18
Theil-Sen,-0.1099162199682088,0.1297760439876028,0.1099162199682088,18
Passing-Bablok,-0.11385737726801794,0.13156137055680883,0.11385737726801794,18
Median,-0.12159275201178549,0.1355581217295306,0.1215927520117855,18
Clustered SE,-0.12010792649906289,0.13576415505048178,0.12010792649906289,18
OLS,-0.12010792649906289,0.13576415505048178,0.12010792649906289,18
LMM (Random Intercept),-0.12010792649906296,0.13576415505048184,0.12010792649906296,18
LMM (Random Slope),-0.12010792649906296,0.13576415505048184,0.12010792649906296,18
Trimmed Mean,-0.12074143134961024,0.13615342866460126,0.12232618479314297,18
Huber,-0.12017832830818932,0.1372773666791424,0.12017832830818932,18
Quantile,-0.11912498658487437,0.14326372698882273,0.11912498658487437,18
Ensemble,-0.13596244064313467,0.1477187958953628,0.1374994541919442,18
Deming,-0.11922019477424937,0.15194949460789622,0.12149318302048373,18
Elastic Net,-0.25384501822711364,0.25449085166099833,0.25384501822711364,18
Lasso,-0.25511424331824917,0.2557367884204276,0.25511424331824917,18
Ridge,-0.2604612211096017,0.26096667746101865,0.2604612211096016,18
SVM Linear,-0.20947812092853632,0.27618986187053624,0.2693015759871062,18
SVM RBF,-0.4045968401794149,0.4047502601084129,0.4045968401794149,18
Adaptive Lasso,-0.41616773245322386,0.4709002602257806,0.41616773245322386,18
