method,error_ratio,mean_bias,rmse
Adaptive Lasso,0.5,-0.4856511887928059,0.5063321321929661
Adaptive Lasso,1.0,-0.41347394813201777,0.46440761920653567
Adaptive Lasso,2.0,-0.349378060434848,0.44196102927784003
Clustered SE,0.5,-0.1893594101239686,0.19113960400121388
Clustered SE,1.0,-0.11595868742493509,0.12629993598586334
Clustered SE,2.0,-0.05500568194828497,0.08985292516436812
Deming,0.5,-0.02105966113668772,0.09918535903682746
Deming,1.0,-0.11055376425390064,0.12883058303506692
Deming,2.0,-0.2260471589321598,0.22783254175179435
Elastic Net,0.5,-0.28397329062085297,0.28407175761670994
Elastic Net,1.0,-0.2517366115385551,0.2521599713233306
Elastic Net,2.0,-0.22582515252193291,0.2272408260429544
Ensemble,0.5,-0.1716052986496418,0.17595081886564215
Ensemble,1.0,-0.1338888731064695,0.14471289204724247
Ensemble,2.0,-0.10239315017329269,0.12249267677320376
Huber,0.5,-0.18745937339181604,0.19017051857373887
Huber,1.0,-0.11644039767115766,0.12823436641909822
Huber,2.0,-0.056635213861594313,0.09342721504459012
LMM (Random Intercept),0.5,-0.18935941012396865,0.19113960400121396
LMM (Random Intercept),1.0,-0.11595868742493516,0.1262999359858634
LMM (Random Intercept),2.0,-0.05500568194828503,0.08985292516436816
LMM (Random Slope),0.5,-0.18935941012396865,0.19113960400121396
LMM (Random Slope),1.0,-0.11595868742493516,0.1262999359858634
LMM (Random Slope),2.0,-0.05500568194828503,0.08985292516436816
Lasso,0.5,-0.28539315707395724,0.28548589724149975
Lasso,1.0,-0.25299529459624787,0.25340077117994725
Lasso,2.0,-0.22695427828454254,0.2283236968398358
Median,0.5,-0.1836699609024336,0.1860231146959855
Median,1.0,-0.11664774284087409,0.12668960298922108
Median,2.0,-0.06446055229204879,0.09396164750338525
ODR,0.5,0.12346025110308484,0.13892319658154603
ODR,1.0,0.07145321098223979,0.10135099627873952
ODR,2.0,0.02817619552264006,0.08535280299315623
OLS,0.5,-0.1893594101239686,0.19113960400121388
OLS,1.0,-0.11595868742493509,0.12629993598586334
OLS,2.0,-0.05500568194828497,0.08985292516436812
Passing-Bablok,0.5,-0.17862660710274122,0.18142879267474762
Passing-Bablok,1.0,-0.10950874445170707,0.12225823635743562
Passing-Bablok,2.0,-0.05343678024960555,0.09099708263824324
Quantile,0.5,-0.18368877336848607,0.18995265526025298
Quantile,1.0,-0.11473458230405896,0.13350145333652033
Quantile,2.0,-0.05895160408207808,0.10633707236969482
RMA,0.5,-0.004743355690712744,0.08572733060729261
RMA,1.0,0.07185272960227018,0.10344822072173628
RMA,2.0,0.1536189881881693,0.16130175483748346
Ridge,0.5,-0.29012731179098933,0.2902031310531028
Ridge,1.0,-0.2583856299526663,0.2587109267599316
Ridge,2.0,-0.23287072158514932,0.23398597457002146
SMA,0.5,-0.004743355690712744,0.08572733060729261
SMA,1.0,0.07185272960227018,0.10344822072173628
SMA,2.0,0.1536189881881693,0.16130175483748346
SMA (Major Axis),0.5,-0.014083168342185627,0.0821888812104802
SMA (Major Axis),1.0,0.06881584559449676,0.09918339250429603
SMA (Major Axis),2.0,0.16108990516683686,0.16857750899156168
SVM Linear,0.5,-0.2083610564999159,0.2854152471672473
SVM Linear,1.0,-0.20444523489671917,0.2737579132533751
SVM Linear,2.0,-0.21562807138897389,0.2693964251909864
SVM RBF,0.5,-0.41594466636419597,0.41594466636419597
SVM RBF,1.0,-0.40450848883606333,0.40469823114586484
SVM RBF,2.0,-0.3933373653379852,0.3936078828151779
Theil-Sen,0.5,-0.17205177261304447,0.17607279875351087
Theil-Sen,1.0,-0.1056182402491187,0.12047921362629453
Theil-Sen,2.0,-0.052078647042463254,0.09277611958300308
Trimmed Mean,0.5,-0.16006575708922124,0.16593567225555114
Trimmed Mean,1.0,-0.11707079367350097,0.13121689296007114
Trimmed Mean,2.0,-0.08508774328610846,0.11130772077818148
