method,beta_true,mean_bias,rmse
Adaptive Lasso,0.6,-0.5005634582302518,0.5005634582302518
Adaptive Lasso,1.0,-0.5562512151195195,0.5569033701686691
Adaptive Lasso,1.4,-0.19168852400990036,0.355233952278421
Clustered SE,0.6,-0.07141487407447725,0.09224334438719996
Clustered SE,1.0,-0.11877136312424552,0.13462085858735184
Clustered SE,1.4,-0.17013754229846587,0.18042826217689353
Deming,0.6,-0.13201909751155563,0.1492367033829659
Deming,1.0,-0.11764496787193139,0.14933762299845824
Deming,1.4,-0.10799651893926111,0.15727415744226458
Elastic Net,0.6,-0.15422126686689405,0.15594825252556618
Elastic Net,1.0,-0.2535098881185187,0.2536686394552311
Elastic Net,1.4,-0.35380389969592824,0.3538556630021976
Ensemble,0.6,-0.020436874155299694,0.05347794524121905
Ensemble,1.0,-0.14055784945016583,0.14259465602862886
Ensemble,1.4,-0.24689259832393848,0.2470837864162405
Huber,0.6,-0.07210442456732126,0.09516763471973107
Huber,1.0,-0.11807732444853763,0.13460309806125167
Huber,1.4,-0.1703532359087091,0.18206136725644442
LMM (Random Intercept),0.6,-0.07141487407447732,0.0922433443872
LMM (Random Intercept),1.0,-0.11877136312424559,0.13462085858735187
LMM (Random Intercept),1.4,-0.17013754229846598,0.1804282621768936
LMM (Random Slope),0.6,-0.07141487407447732,0.0922433443872
LMM (Random Slope),1.0,-0.11877136312424559,0.13462085858735187
LMM (Random Slope),1.4,-0.17013754229846598,0.1804282621768936
Lasso,0.6,-0.15699237320122852,0.15864177462490034
Lasso,1.0,-0.25477743755911125,0.25493698265250725
Lasso,1.4,-0.35357291919440786,0.3536316079838753
Median,0.6,-0.06493515415081134,0.08866129492753826
Median,1.0,-0.11652836141867244,0.127034355599939
Median,1.4,-0.1833147404658727,0.19097871466111457
ODR,0.6,0.0798179494077983,0.11199144658323407
ODR,1.0,0.07704790313843714,0.10608756152408329
ODR,1.4,0.06622380506172927,0.10754798774612441
OLS,0.6,-0.07141487407447725,0.09224334438719996
OLS,1.0,-0.11877136312424552,0.13462085858735184
OLS,1.4,-0.17013754229846587,0.18042826217689353
Passing-Bablok,0.6,-0.06773940955578356,0.09117352353824897
Passing-Bablok,1.0,-0.11186722654841293,0.12914736193050538
Passing-Bablok,1.4,-0.16196549569985735,0.17436322620167213
Quantile,0.6,-0.07105051770417413,0.10476685038072668
Quantile,1.0,-0.11605072169819779,0.13882025215660546
Quantile,1.4,-0.17027372035225122,0.186204078429136
RMA,0.6,0.15100852107017543,0.15505481169891328
RMA,1.0,0.06512131561091389,0.0989334990100423
RMA,1.4,0.004598525418637418,0.09648899545755678
Ridge,0.6,-0.15620335585726072,0.15763142467885205
Ridge,1.0,-0.2601366632704026,0.26021567072309043
Ridge,1.4,-0.3650436442011416,0.36505293698111335
SMA,0.6,0.15100852107017543,0.15505481169891328
SMA,1.0,0.06512131561091389,0.0989334990100423
SMA,1.4,0.004598525418637418,0.09648899545755678
SMA (Major Axis),0.6,0.07835573760969268,0.11524314923589085
SMA (Major Axis),1.0,0.07794273247166641,0.11798611711592509
SMA (Major Axis),1.4,0.05952411233778888,0.116720516354522
SVM Linear,0.6,0.08973518258785475,0.11040004023814505
SVM Linear,1.0,-0.18334523421027496,0.18334523421027496
SVM Linear,1.4,-0.5348243111631887,0.5348243111631887
SVM RBF,0.6,-0.2542425244665808,0.254702784253575
SVM RBF,1.0,-0.40263821098415614,0.40263821098415614
SVM RBF,1.4,-0.5569097850875077,0.5569097850875077
Theil-Sen,0.6,-0.06548906472619828,0.09221911485773658
Theil-Sen,1.0,-0.10823440921711884,0.12708860375288836
Theil-Sen,1.4,-0.15602518596130927,0.1700204133521835
Trimmed Mean,0.6,-0.018294639841907902,0.05976510739978715
Trimmed Mean,1.0,-0.11543609511378172,0.11986388652027365
Trimmed Mean,1.4,-0.22849355909314106,0.22883129207374298
