method,avg_rmse,rank
ensemble,0.24105857859816607,1
ols,0.2565762295155963,2
siegel,0.2632915375023758,3
xgboost,0.26666666666666666,4
theilsen,0.26801304973980117,5
keras_denoised,0.320445655255499,6
rma,0.34564073771463016,7
lmer_slopes,0.37380169087471465,8
lmer,0.3797259135590556,9
nlme,0.42352923254392677,10
deming_mcr,0.46496769950537475,11
majoraxis,0.464967699505375,12
deming_std,0.46496833906476165,13
deming_wtd,0.46496833906476165,14
glmnet,0.47284428094267206,15
keras,0.7024102044940488,16
rf,0.8114289621424058,17
