method,rmse
clustered,0.12491935338193856
ols,0.12491935338193856
lmer_int,0.1249193533819386
lmer_slope,0.1249193533819386
odr,0.12494066183774537
pbablok,0.1274525363821354
huber,0.13023728494998507
theilsen,0.13109414907268466
median,0.13371256662483563
trimmed,0.14328491322432302
quantile,0.15248259337248984
ensemble,0.16074688531966055
sma,0.1909874070355594
rma,0.1909874070355594
majoraxis,0.20711344675977564
deming,0.25387531868187463
enet,0.2549604047577191
lasso,0.2561755243875264
ridge,0.26510577919337414
gb,0.26666666666666666
xgb,0.26666666666666666
rf,0.26666666666666666
svm_linear,0.28875617997027325
svm_rbf,0.4382406030166668
adaptive_lasso,0.49982215723300033
lgb,1.0
