sim_id,beta_true,n,sigma_x_me,sigma_y_me,n_per_habitat,n_habitats,beta_ols,se_ols,cover_ols,beta_sma,beta_majoraxis,beta_rma,beta_odr,beta_deming_std,se_deming_std,cover_deming_std,beta_deming_wtd,beta_deming_mcr,lambda_estimated,beta_pbablok,beta_theilsen,beta_siegel,beta_simex,se_simex,beta_lmer,se_lmer,cover_lmer,beta_lmer_slopes,se_lmer_slopes,beta_nlme,beta_brms_std,se_brms_std,cover_brms_std,beta_brms_me,se_brms_me,cover_brms_me,beta_brms_robust,se_brms_robust,beta_brms_horseshoe,beta_xgboost,beta_xgboost_corrected,beta_rf,beta_glmnet,beta_nnet,beta_keras,beta_keras_denoised,beta_ensemble,rhat,ess_bulk,divergent,time_total,sd_beta_actual,sd_alpha_actual,cor_alpha_beta_actual
1,0.6,432,0.2,0.4,36,12,0.6630399472579079,0.04609222182834967,1,NA,1.3011684353968598,1.163251444994375,NA,0.8295999866027775,NA,NA,0.8295999866027775,1.8024798015099692,4,NA,0.6769936975911885,0.6919701125438111,NA,NA,0.5888691313546746,0.05491286649075584,1,0.5719245994594897,0.1118287162827299,1.0915171811301903,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.10780229457244168,0.27706356807265153,-4.413169699099201,0.3020953834056854,0.9652571210814958,0.687397227187811,NA,NA,NA,47.489545822143555,0.30755730098842654,0.427857444197327,-0.1474832023548411
1,1,432,0.2,0.4,36,12,0.614463432404952,0.052797344839204154,0,NA,1.5733436947589443,1.2554743913170452,NA,0.836620048448538,NA,NA,0.836620048448538,2.268535047974366,4,NA,0.5143192766547033,0.5533381110006279,NA,NA,0.754353345727902,0.059948447408950355,0,0.78298481203075,0.14077063251119262,0.5403501615376283,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.12437139965173834,0.5781570982591352,0.7412682962216943,0.2770445790956728,0.642366889256496,0.5769628451720724,NA,NA,NA,45.31927490234375,0.6048917100905468,0.45346835261242696,-0.16373493136668585
1,1.4,432,0.2,0.4,36,12,1.0800002466129321,0.04578370914566965,0,NA,1.6098338953484692,1.4379652925686923,NA,1.2963690379783865,NA,NA,1.2963690379783865,1.8204265337780927,4,NA,1.141391651886805,1.109049632961779,NA,NA,1.0171371582421462,0.06461338416550264,0,1.046772865456022,0.09760494865845386,1.0128791515188622,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.2573655859183351,0.7212727026788004,-0.30612277132719634,0.3095667004818097,1.5517612301418315,1.075817773420353,NA,NA,NA,46.32810306549072,0.35920596697250656,0.36355104735357135,-0.5803493836018133
2,0.6,432,0.2,0.4,36,12,0.6367335744656021,0.03858708995816473,1,NA,1.03651693501822,1.0225868935062323,NA,0.7430910246011159,NA,NA,0.7430910246011159,1.425064682449482,4,NA,0.5850198764292737,0.6039349871248723,NA,NA,0.6361359637506998,0.052282889024570255,1,0.626087329245996,0.06671608725123489,0.5401864389045314,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.1367345609030994,0.4144801130621799,-0.383561521369965,0.3013854534365237,0.9506990765073549,0.643385801087974,NA,NA,NA,44.603858947753906,0.2878816646289575,0.3947170969471068,-0.038548048756772715
2,1,432,0.2,0.4,36,12,1.0074175504650813,0.05620213357190704,1,NA,1.8916509766470173,1.5404942202877272,NA,1.3493970357889788,NA,NA,1.3493970357889788,2.2200976866336215,4,NA,1.1838105489943254,1.1055986808382843,NA,NA,0.8182835538843225,0.06289879674155816,0,0.8303513506211408,0.11461962165766094,0.9963149575157,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.17772589982542947,0.5653662881595359,2.2979180506133012,0.30884911655448377,1.1099460296055361,0.9918840562816811,NA,NA,NA,44.17371988296509,0.4679771254743034,0.41631069324403264,-0.3829816130771831
2,1.4,432,0.2,0.4,36,12,1.5246137248268663,0.05009600455132928,0,NA,2.0615813479481835,1.8448791746055833,NA,1.813948527559077,NA,NA,1.813948527559077,2.1829676895978554,4,NA,1.5356923896464323,1.5131326150616315,NA,NA,1.25492097046334,0.06290386227602615,0,1.264204894676701,0.12292723738343468,1.7170081006171751,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.327104637305507,0.9633956965038183,-2.5791133842959115,0.32644845912000164,1.6263750001521782,1.3655468558980122,NA,NA,NA,45.65357995033264,0.5161278843144369,0.5395146063358441,-0.4577950012996083
3,0.6,432,0.2,0.4,36,12,0.4286418558320388,0.061279511163247424,0,NA,2.2979408188061465,1.3410669597697036,NA,0.6869369926322539,NA,NA,0.6869369926322539,3.680408317052414,4,NA,0.40797397587922124,0.4435943830225486,NA,NA,0.4338347016090776,0.05716424157079434,0,0.41975586969639644,0.07991453210122727,0.5623506940985677,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.0941916101340841,0.2602111764726191,-3.4383067861289844,0.29857680934946984,0.47255352718450155,0.4589366321754971,NA,NA,NA,44.79434418678284,0.38738864650333604,0.621727293223984,-0.10623182396697152
3,1,432,0.2,0.4,36,12,0.8204571871863582,0.058551205103694694,0,NA,1.9193657373852546,1.465365057661937,NA,1.1676257983023761,NA,NA,1.1676257983023761,2.415963171511947,4,NA,0.6327513313767796,0.7148671669113316,NA,NA,0.7711908992810752,0.05844797326667997,0,0.832919722141219,0.12941734783519723,1.1271785840949664,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.20975169050440387,0.6512314673336027,1.270918416201929,0.3076421411242336,0.9389463126424775,0.773484554126445,NA,NA,NA,43.64901113510132,0.5443907194385209,0.32762783971517173,0.27918129086076904
3,1.4,432,0.2,0.4,36,12,1.1963698338182125,0.05210917792302919,0,NA,1.8709534546430848,1.612113005192316,NA,1.4984062837064613,NA,NA,1.4984062837064613,2.0833614439380064,4,NA,1.2166425643282068,1.2027276816568346,NA,NA,1.0690061447671226,0.06318525169171019,0,1.0897012944277535,0.12436796409473437,0.8124742502265571,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.26174927580335433,0.8625861032618127,1.3181030989422304,0.3243173980154097,1.5194123913972235,1.1510296942531029,NA,NA,NA,45.72867703437805,0.47825530620280077,0.5241780363920323,-0.5971940777987763
4,0.6,432,0.2,0.4,36,12,0.785925769664228,0.05257357061072066,0,NA,1.6367513418228148,1.343946001865139,NA,1.04315505953624,NA,NA,1.04315505953624,2.0991683670028367,4,NA,0.694057377934483,0.7337823501946162,NA,NA,0.5314210454503339,0.06459822182736259,1,0.5508883888217967,0.10563494270059157,0.8724354697011276,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.1467344307106808,0.4270373691845646,-28.41841563359463,0.24769888445734978,1.170113230717588,0.7881900644619778,NA,NA,NA,44.632786989212036,0.4183979469921461,0.370763638311253,-0.4330349373693711
