method,avg_rmse,rank
lmer_slopes,0.22938439001634914,1
ensemble,0.23739794668575956,2
lmer,0.2401137723170198,3
ols,0.24793431646289185,4
siegel,0.25367563260962883,5
theilsen,0.2572531912851227,6
xgboost,0.26666666666666666,7
deming_std,0.32522172302245006,8
deming_wtd,0.32522172302245006,9
rma,0.41442849548538624,10
glmnet,0.42285892070144543,11
keras_denoised,0.46579844887794064,12
nlme,0.51212492772327,13
majoraxis,0.6231399203206505,14
keras,0.7045754029940335,15
rf,0.7917969488142947,16
deming_mcr,0.9207633014895319,17
