sim_id,beta_true,n,beta_ols,cover_ols,beta_odr,beta_deming,cover_deming,beta_theilsen,beta_huber,cover_huber,beta_quantile,cover_quantile,beta_sma,beta_majoraxis,beta_rma,beta_pbablok,beta_ridge,beta_lasso,beta_enet,beta_adaptive_lasso,beta_rf,beta_gb,beta_xgb,beta_lgb,beta_svm_linear,beta_svm_rbf,beta_gp,beta_lmer_int,se_lmer_int,cover_lmer_int,var_habitat,var_residual,beta_lmer_slope,se_lmer_slope,beta_clustered,se_clustered,beta_ensemble,beta_trimmed,beta_median
1,0.6,36,0.5134918008841947,1,0.6222860172021157,0.4725337173968464,1,0.5442435483271929,0.5509952280485303,1,0.5429464054458639,1,0.7031143136357761,0.6299897852204818,0.7031143136357761,0.5014982940764972,0.46153132828960436,0.4643516429643156,0.4670165601634982,0.10566628095518862,1.0,1.0,1.0,0,0.7817130742561688,0.3243535160812463,,0.5134918008841942,0.08005135651293825,1,8.814467993807363e-06,0.19686734462108857,0.5134918008841942,0.08005135651293825,0.5134918008841947,0.49423299770546886,0.5621444012711253,0.5696660499095101,0.5134918008841947
2,0.6,36,0.6181051080534125,1,0.716796436075869,0.5924864225920039,1,0.5866660726525922,0.5787572491490897,1,0.5512551096963793,1,0.7620734379048035,0.7232381782851588,0.7620734379048035,0.5896080803281771,0.5536274855439612,0.5590060268090715,0.5612000266756931,0.1823836042349884,1.0,1.0,1.0,0,0.6930666630420698,0.4188322725748194,,0.6181051080534118,0.07429333755053641,1,7.539346924782366e-06,0.16838806497523626,0.6181051080534118,0.07429333755053641,0.6181051080534125,0.45868328191554536,0.6218909102470925,0.637953017444639,0.6181051080534118
3,0.6,36,0.4884183533531859,1,0.5642241800440032,0.43892969358437806,1,0.4883827271281767,0.47402360355656337,1,0.4755368690432979,1,0.6402756979839128,0.5724273054531075,0.6402756979839128,0.48035059201157937,0.42396419969251187,0.42574098301730395,0.4285979930520437,0.0819068872018637,1.0,1.0,1.0,0,0.7355438396891618,0.2881541830989757,,0.4884183533531857,0.06900090207472918,1,6.108116711263785e-06,0.13642215485041623,0.4884183533531857,0.06900090207472918,0.4884183533531859,0.4260080548574228,0.5266090376501538,0.5279000515132459,0.4884183533531857
4,0.6,36,0.4288936176963469,1,0.5505939347775435,0.3648847848358056,1,0.4428854581279526,0.4517717287273382,1,0.49957441458593643,1,0.6761510669003515,0.5588660265146252,0.6761510669003515,0.4365370139372543,0.36127766440418874,0.36131315508208306,0.364490701574212,0.05068228685026287,1.0,1.0,1.0,0,0.6756876700236174,0.23516344297863048,,0.4288936176963469,0.08711909631995846,0,9.169235997863238e-06,0.20479093512804344,0.4288936176963469,0.08711909631995846,0.4288936176963469,0.5378688632796057,0.49659151682632774,0.4932064526397515,0.4365370139372543
5,0.6,36,0.5651912707686599,1,0.7599511358695886,0.5076856637503127,1,0.6223915815823546,0.5775987917716495,1,0.6149395262207845,1,0.8281343807182969,0.76563715425918,0.8281343807182969,0.6153679823761755,0.42652133427573596,0.4283691491167288,0.43121308369823763,0.08339790519539768,1.0,1.0,1.0,0,0.6908838602457537,0.34830079098683353,,0.5651912707686597,0.10088020673256534,1,9.867926886882446e-06,0.22039589507506918,0.5651912707686597,0.10088020673256534,0.5651912707686599,0.622829258046675,0.599534426254781,0.6160996788770825,0.5775987917716495
6,0.6,36,0.2785608423537507,0,0.3563457882093741,0.1858727610804366,0,0.2448961016580951,0.2714170277008597,0,0.1849819337783421,0,0.5634938645697908,0.36415287579543393,0.5634938645697908,0.26954549836840525,0.2312532820059578,0.22767698428390112,0.2315193873471653,0.013292191211334597,1.0,1.0,1.0,0,0.4085113537042917,0.14603178475112033,,0.2785608423537514,0.08163761260645976,0,7.820592131745535e-06,0.1746695554852174,0.2785608423537514,0.08163761260645976,0.2785608423537507,0.5040264620311236,0.36420556819344796,0.3349176777493668,0.2785608423537507
7,0.6,36,0.41926441563204203,1,0.6255809770439944,0.33129258923804283,1,0.42453190876705515,0.4173450814028502,1,0.4594141423945693,1,0.7694795818117859,0.6332594114805045,0.7694795818117859,0.44860608405459235,0.3165446262663853,0.3153375325515627,0.318743813484142,0.034090839849142615,1.0,1.0,1.0,0,0.5052090642994056,0.28687678112950343,,0.4192644156320412,0.10753761313682603,1,1.1223751360757975e-05,0.25067765049907176,0.4192644156320412,0.10753761313682603,0.41926441563204203,0.6639317460924525,0.49273259470058645,0.4894083599086498,0.41926441563204203
8,0.6,36,0.4426006386541827,1,0.583486273150979,0.36531354798452864,1,0.39738672541456505,0.3796061793596249,0,0.37914516341730564,1,0.7069006634595525,0.5915441876505853,0.7069006634595525,0.39021484875474494,0.34320576020707794,0.34273925354616347,0.34600920750862035,0.043450679193055605,1.0,1.0,1.0,0,0.526295925785032,0.2425352567943238,,0.4426006386541829,0.09186542431768589,1,8.639977343643273e-06,0.19297017113573103,0.4426006386541829,0.09186542431768589,0.4426006386541827,0.5671724505839769,0.48326682131749754,0.47745716900575724,0.4426006386541827
9,0.6,36,0.5345277181745489,1,0.703171135170604,0.48887887449563716,1,0.5250225762939097,0.5142802207833099,1,0.4761125055164157,1,0.784696420149397,0.7098516632150644,0.784696420149397,0.5128262222789827,0.4519292360258674,0.4544828259154748,0.4571968417069402,0.09920742492337929,1.0,1.0,1.0,0,0.6836878972746407,0.3466332150488638,,0.5345277181745489,0.09574685812924577,1,1.11576528793539e-05,0.24920136939368526,0.5345277181745489,0.09574685812924577,0.5345277181745489,0.5911362252362222,0.5709036674628729,0.5806093119327737,0.5345277181745489
10,0.6,36,0.5624970873874944,1,0.6314942592899705,0.5413220917296712,1,0.5917403754250908,0.5827619156372096,1,0.5921158645112883,1,0.6815218067680342,0.6390975553114556,0.6815218067680342,0.5831959889572074,0.5761750043707334,0.5821798656032539,0.5842585727395561,0.2055872162405561,1.0,1.0,1.0,0,0.8562235306851669,0.5241436894231476,,0.5624970873874944,0.06413289149643173,1,7.347731576282136e-06,0.16410841873072396,0.5624970873874944,0.06413289149643173,0.5624970873874944,0.39595320549849883,0.6131881692613198,0.6261968777247262,0.5831959889572074
