sim_id,beta_true,n,beta_ols,cover_ols,beta_odr,beta_deming,cover_deming,beta_theilsen,beta_huber,cover_huber,beta_quantile,cover_quantile,beta_sma,beta_majoraxis,beta_rma,beta_pbablok,beta_ridge,beta_lasso,beta_enet,beta_adaptive_lasso,beta_rf,beta_gb,beta_xgb,beta_lgb,beta_svm_linear,beta_svm_rbf,beta_gp,beta_lmer_int,se_lmer_int,cover_lmer_int,var_habitat,var_residual,beta_lmer_slope,se_lmer_slope,beta_clustered,se_clustered,beta_ensemble,beta_trimmed,beta_median
1,0.6,72,0.6593394582332723,1,0.8030383366685826,0.6215101280812693,1,0.6717630819248598,0.6609544349569029,1,0.6471265873525701,1,0.8416794270999014,0.8054539273613683,0.8416794270999014,0.6667095079073053,0.5529473721332263,0.5506271967461878,0.5528628823345152,0.1744446606005611,1.0,1.0,1.0,91,0.7675443949021206,0.4534631413963164,,0.6593394582332718,0.06165492419956249,1,6.80162725523046e-10,0.1978783239306923,0.6593394582332718,0.06165492419956249,0.6593394582332723,0.530580451029556,0.6931437427044852,0.7011808076389888,0.6601469465950875
2,0.6,72,0.5613856259665491,1,0.695246426751362,0.5073021498418191,1,0.589450262080355,0.5982940051978942,1,0.5826919302848285,1,0.7634431727877365,0.698624498053955,0.7634431727877365,0.583717663229683,0.46829615135425035,0.46480026456750395,0.46746294981841185,0.10596636860566334,1.0,1.0,1.0,86,0.7804055397562313,0.40901728622312267,,0.5613856259665482,0.06097491025850442,1,6.581861939332334e-10,0.19148473740468655,0.5613856259665482,0.06097491025850442,0.5613856259665491,0.524728491786444,0.6238047429639431,0.6227067050209978,0.5832047967572558
3,0.6,72,0.6377609531858031,1,0.7898281728346656,0.600230929095222,1,0.6238686920651407,0.6063139118751275,1,0.6189120336885794,1,0.834423252437421,0.7923795622182344,0.834423252437421,0.6463035166889395,0.5532331965273813,0.5509169909235951,0.553151234749846,0.1747153173745515,1.0,1.0,1.0,92,0.714541267508424,0.4524757230931016,,0.637760953185803,0.06341257441896984,1,7.698024962047976e-10,0.22395698145945384,0.637760953185803,0.06341257441896984,0.6377609531858031,0.5457061665871134,0.6771254939209482,0.6816427680996228,0.6377609531858031
4,0.6,72,0.4668524292500682,0,0.593254494527814,0.39523464741490716,1,0.4749988569543701,0.48160999895636825,1,0.5269957703751394,1,0.7000443309559039,0.5972426560244575,0.7000443309559039,0.4682739623340043,0.38416656139861227,0.37950220808470425,0.38258926177582514,0.05850122590435249,1.0,1.0,1.0,96,0.6956856986049176,0.32398400713847386,,0.4668524292500668,0.06147615556353825,0,6.510602804502335e-10,0.1894115684390174,0.4668524292500668,0.06147615556353825,0.4668524292500682,0.529042031434315,0.5467971694730009,0.535947360853511,0.4716364096441872
5,0.6,72,0.398787300659893,0,0.5192749111073848,0.3270519378555067,0,0.40559591417791946,0.38570241231301433,0,0.39680734297964954,0,0.6626522229620819,0.5234484012768965,0.6626522229620819,0.3950622113013432,0.3480382458992612,0.34287211042563986,0.3461414034085969,0.043499793909828964,1.0,1.0,1.0,79,0.5829666370652324,0.16884719344620305,,0.3987873006598931,0.06236949234523694,0,7.537781753498559e-10,0.219295108604203,0.3987873006598931,0.06236949234523694,0.398787300659893,0.5367297715249656,0.4866255528968279,0.47185639868745455,0.39878730065989304
6,0.6,72,0.460864997698078,0,0.6138858487395591,0.394689923026764,1,0.4809051733997882,0.4692108708595667,1,0.536920268841714,1,0.7295131540557431,0.6177652807618348,0.7295131540557431,0.46813321045554623,0.39357504120368136,0.3890413612203992,0.3920809564382082,0.06290554576924672,1.0,1.0,1.0,80,0.6633806899770478,0.26829768149241284,,0.4608649976980777,0.06664508982466472,0,8.240845895524018e-10,0.23974921182571426,0.4608649976980777,0.06664508982466472,0.460864997698078,0.5735240498167181,0.5478762795949803,0.5401152735459949,0.46867204065755647
7,0.6,72,0.570342804725658,1,0.8002347803629863,0.506346231572532,1,0.6016621501537945,0.5592512139180021,1,0.5851493316284629,1,0.8623862681541861,0.8026903499130794,0.8623862681541861,0.5849064071568435,0.4417969102930924,0.4379329784916077,0.4407293318324455,0.08897629318603165,1.0,1.0,1.0,77,0.6778399845041736,0.2961470567278028,,0.5703428047256571,0.07623238964203959,1,8.871158968402922e-10,0.2580867483214252,0.5703428047256571,0.07623238964203959,0.570342804725658,0.6560289580182669,0.6286275806796298,0.6358157458354456,0.5776246059412508
8,0.6,72,0.5472483901231547,1,0.6360115599432431,0.5072054251705749,1,0.5625888179006276,0.5350873996786993,1,0.5556282066169186,1,0.6983124115802206,0.6397839273726673,0.6983124115802206,0.5579902649932356,0.52018583611286,0.5174106393922051,0.5198115814847811,0.14523853323230035,1.0,1.0,1.0,84,0.7565442555553753,0.5349850863703192,,0.5472483901231538,0.05112069374347213,1,6.007164229200417e-10,0.17476512096144065,0.5472483901231538,0.05112069374347213,0.5472483901231547,0.43992659297678155,0.6170040871580393,0.606758108837444,0.5514382983700367
9,0.6,72,0.45239694713986217,0,0.5945145308064823,0.39439210334560815,1,0.4483401226127555,0.4637096265288259,0,0.49008321897679,1,0.7127462806158543,0.5984799135531191,0.7127462806158543,0.46488854620162345,0.41056525762335583,0.4062675528681248,0.40922144563992524,0.07140898737578871,1.0,1.0,1.0,88,0.6503113685963609,0.24320558032817172,,0.45239694713986206,0.06490851069328561,0,8.827875810861838e-10,0.25682752945648424,0.45239694713986206,0.06490851069328561,0.45239694713986217,0.5585796645832971,0.5400213001930948,0.5314363353635627,0.45805328683434404
10,0.6,72,0.6515965002572434,1,0.7993540543909896,0.6174302899286117,1,0.6710037888194776,0.6835181405320249,1,0.6999150596158159,1,0.8400649770024601,0.8018081606803533,0.8400649770024601,0.6752104603381399,0.5727990725228965,0.5707546151968255,0.5728901643749507,0.19391580349632592,1.0,1.0,1.0,88,0.7964105965444745,0.490108639854717,,0.6515965002572425,0.06248679487595945,1,7.676291402496819e-10,0.22332474564251856,0.6515965002572425,0.06248679487595945,0.6515965002572434,0.5377392355777669,0.7014379455149771,0.7082005754432472,0.6731071245788087
