method,rmse
majoraxis,0.10978410177534277
odr,0.11149385273200878
sma,0.11209672234052072
rma,0.11209672234052072
trimmed,0.1334602185635701
theilsen,0.13363050632417547
pbablok,0.134783580863732
ensemble,0.13672273054523018
ols,0.1385682062542354
clustered,0.1385682062542354
lmer_slope,0.1385682062542355
lmer_int,0.1385682062542355
median,0.1388887308328031
huber,0.14226654591173032
deming,0.14611273920441897
quantile,0.14805074706302823
enet,0.2587659311723209
lasso,0.2600354164236007
ridge,0.2602029118171812
gb,0.26666666666666666
xgb,0.26666666666666666
rf,0.26666666666666666
svm_linear,0.27717314890556666
svm_rbf,0.3901735391425349
adaptive_lasso,0.4750161283556449
lgb,87.41303833548716
